iter	Logloss
0	0.6574232008
1	0.6239975335
2	0.5945430186
3	0.5693049053
4	0.5516950129
5	0.5316320234
6	0.5168709082
7	0.5042871728
8	0.4943514924
9	0.4818596705
10	0.4736227791
11	0.4638815046
12	0.4570172839
13	0.4516850558
14	0.4448924323
15	0.4380303831
16	0.434370656
17	0.4308035954
18	0.4269383929
19	0.4237908661
20	0.4206247742
21	0.4164887316
22	0.4132243242
23	0.410976862
24	0.4087919435
25	0.4072618224
26	0.4049633262
27	0.4019782376
28	0.3993331951
29	0.3975081977
30	0.3952599316
31	0.3929046348
32	0.3913096515
33	0.389615966
34	0.3879918397
35	0.3863651267
36	0.3847338766
37	0.3826769082
38	0.3822892281
39	0.3805974744
40	0.3796661895
41	0.3786860952
42	0.3776688888
43	0.3756369291
44	0.3741295139
45	0.3733324182
46	0.3720322024
47	0.370579013
48	0.3699742379
49	0.3690610093
50	0.3681132817
51	0.367313674
52	0.366318272
53	0.3658833181
54	0.3652126605
55	0.3643771955
56	0.3636524608
57	0.3629103309
58	0.3619334564
59	0.3612322604
60	0.3606228333
61	0.360100228
62	0.3595710901
63	0.3592273512
64	0.3586212155
65	0.3581829095
66	0.3573968193
67	0.3570909999
68	0.3565304236
69	0.3559176602
70	0.3554356942
71	0.355085457
72	0.3548042027
73	0.3539268836
74	0.3537532428
75	0.3527828314
76	0.3524108084
77	0.3518021458
78	0.3514532188
79	0.3510726898
80	0.3505135044
81	0.3503308874
82	0.3497008545
83	0.3489082578
84	0.3484907578
85	0.3482796378
86	0.347970053
87	0.3468548189
88	0.3465436238
89	0.3460803538
90	0.3458264501
91	0.345191089
92	0.3442886892
93	0.3440538625
94	0.3438837601
95	0.3437096351
96	0.3429172118
97	0.3421190978
98	0.3417889916
99	0.3416506885
100	0.3410749981
101	0.3407949863
102	0.3405318242
103	0.3402171927
104	0.3394704696
105	0.3391847775
106	0.3387383917
107	0.3384975876
108	0.3380581964
109	0.3378709405
110	0.3375539461
111	0.3370810688
112	0.3366668823
113	0.3364789922
114	0.3364264181
115	0.3360824142
116	0.3357642664
117	0.3352863339
118	0.3349915709
119	0.3345325119
120	0.3343222462
121	0.3338385129
122	0.3332555936
123	0.3330571276
124	0.3326841226
125	0.332405406
126	0.3322856631
127	0.3320627886
128	0.3320221984
129	0.3319237255
130	0.3314634779
131	0.3313612286
132	0.3311406062
133	0.3310954907
134	0.3310274346
135	0.3301581357
136	0.3300470515
137	0.329962969
138	0.329751208
139	0.3294551387
140	0.329365586
141	0.3292840825
142	0.3288752839
143	0.328688902
144	0.3282650354
145	0.3279008678
146	0.3278072259
147	0.3274384905
148	0.327271393
149	0.3269466548
150	0.3266332029
151	0.3265242141
152	0.3264095952
153	0.3263492662
154	0.3260045284
155	0.325745661
156	0.3248526338
157	0.3244911739
158	0.324339362
159	0.3242347882
160	0.3238321244
161	0.3234608333
162	0.3232001321
163	0.3226703191
164	0.3224962665
165	0.3224040154
166	0.3222261404
167	0.3220116904
168	0.3218633793
169	0.321780513
170	0.3216178369
171	0.3212234567
172	0.3210633621
173	0.3208738197
174	0.3206946997
175	0.3206062121
176	0.320564755
177	0.3204977346
178	0.320456771
179	0.3201461285
180	0.3200071826
181	0.3196548181
182	0.3194385257
183	0.3191943866
184	0.3190904724
185	0.3189453632
186	0.3186217293
187	0.3181807673
188	0.3180180125
189	0.3178135419
190	0.3177190038
191	0.3176560683
192	0.3175432708
193	0.3174509728
194	0.3173108362
195	0.317180582
196	0.3170365616
197	0.3169426185
198	0.3167245321
199	0.3161366167
200	0.3158826717
201	0.3157915087
202	0.3157465562
203	0.3156360506
204	0.3153930057
205	0.3142879273
206	0.3142278034
207	0.3140055085
208	0.3138754922
209	0.3137360944
210	0.3136474324
211	0.3135312816
212	0.3132841233
213	0.3129691358
214	0.3129096853
215	0.3125093092
216	0.312288649
217	0.3122706165
218	0.3122261575
219	0.312025652
220	0.3117027399
221	0.3113871288
222	0.3111962595
223	0.31115005
224	0.3110367408
225	0.3109928496
226	0.3107986249
227	0.3100154927
228	0.3099192377
229	0.3098081911
230	0.3098059757
231	0.3097880304
232	0.3095444234
233	0.3094949586
234	0.3092319389
235	0.3089289622
236	0.308931876
237	0.3087596336
238	0.3086999333
239	0.3082941899
240	0.3081693134
241	0.3081121004
242	0.308115753
243	0.307998571
244	0.3079966064
245	0.3079801248
246	0.3078421797
247	0.3076298587
248	0.3075823224
249	0.3075752048
250	0.3070986969
251	0.3070302114
252	0.3069149839
253	0.3068428179
254	0.3067279463
255	0.3063160271
256	0.3062894462
257	0.3055819742
258	0.3053654926
259	0.3053501001
260	0.3053520445
261	0.3050635037
262	0.3049958372
263	0.3048934381
264	0.3048423965
265	0.3047509425
266	0.3045110425
267	0.3044477431
268	0.3044132665
269	0.3043339246
270	0.3043315449
271	0.3043315717
272	0.3043257459
273	0.304302193
274	0.3042119089
275	0.3041703273
276	0.304109226
277	0.3040371221
278	0.3040301369
279	0.3040306878
280	0.3040143765
281	0.304003384
282	0.3037556541
283	0.3037070878
284	0.3036950459
285	0.3036908772
286	0.3035995516
287	0.3035870135
288	0.3035735452
289	0.3035741503
290	0.3035380341
291	0.3035434072
292	0.3035094177
293	0.3035195319
294	0.3035018575
295	0.3034964648
296	0.3035027119
297	0.3034968977
298	0.3035039858
299	0.3034953128
300	0.303503772
301	0.3034815539
302	0.3033862577
303	0.3033260833
304	0.3032238274
305	0.3031610547
306	0.3031040387
307	0.3030988083
308	0.3030941562
309	0.3030890864
310	0.3030836085
311	0.3030606823
312	0.3030443295
313	0.3030307101
314	0.3030169897
315	0.3030056973
316	0.3029668916
317	0.3029720257
318	0.3029440515
319	0.3029491752
320	0.3029267145
321	0.3028174604
322	0.3028181814
323	0.3027675062
324	0.3026686575
325	0.3023920401
326	0.3023904001
327	0.3023591884
328	0.302277721
