iter	Logloss
329	0.3022719448
330	0.3022566302
331	0.3022366165
332	0.302208235
333	0.3022038651
334	0.3021828547
335	0.3021840186
336	0.3021649209
337	0.3021647611
338	0.3021303569
339	0.3021131224
340	0.302094701
341	0.3020105204
342	0.3020257175
343	0.3020229019
344	0.3020215751
345	0.3020177975
346	0.3020111582
347	0.3020184778
348	0.3020185615
349	0.3019443404
350	0.3019596524
351	0.3019651342
352	0.3019668149
353	0.301974707
354	0.3019794771
355	0.3019808627
356	0.3019106735
357	0.3018658617
358	0.3018012631
359	0.3017905414
360	0.3014871346
361	0.3011651526
362	0.3011486796
363	0.3011385268
364	0.3011404885
365	0.3011369737
366	0.3007731906
367	0.300716606
368	0.3006883931
369	0.3006863653
370	0.3006834015
371	0.3006597284
372	0.3006099352
373	0.3005856672
374	0.3001379185
375	0.2998462269
376	0.2998455438
377	0.2998458385
378	0.2996165014
379	0.2995603064
380	0.2993722477
381	0.299188424
382	0.2989713427
383	0.2988005296
384	0.2987637172
385	0.2987690937
386	0.2987604714
387	0.2987167529
388	0.2987051769
389	0.2986958158
390	0.2984495315
391	0.298413191
392	0.2984203513
393	0.2982049452
394	0.2981941583
395	0.2979153309
396	0.2979308707
397	0.2978902026
398	0.2977295605
399	0.2976950164
