epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.34195,0.8795,0.19978,0.93733,0.001
2,0.16873,0.9535,0.12201,0.97,0.001
3,0.1396,0.956,0.10714,0.96933,0.001
4,0.11488,0.9645,0.08329,0.98067,0.001
5,0.1109,0.9635,0.06054,0.98867,0.001
6,0.10214,0.9675,0.06049,0.98733,0.001
7,0.0999,0.9645,0.05386,0.98733,0.001
8,0.08438,0.972,0.05102,0.98467,0.001
9,0.09306,0.9675,0.05363,0.98667,0.001
10,0.07526,0.9725,0.04874,0.98733,0.001
11,0.0892,0.969,0.05068,0.986,0.001
12,0.08546,0.9695,0.04365,0.98867,0.001
13,0.07216,0.975,0.03676,0.99067,0.001
14,0.06957,0.977,0.03859,0.99067,0.001
15,0.07658,0.974,0.03931,0.98867,0.001
