epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1381.1,0.93047,0.95613,1.31221,0.84979,0.88399,0.91642,0.66216,0.55333,0.9992,0.81887,0.005743,0.005743,0.005743
45,1412.11,0.93322,0.94617,1.29706,0.84638,0.79375,0.87905,0.67636,0.51765,0.72887,0.79045,0.005644,0.005644,0.005644
46,1443.88,0.95236,0.97002,1.32526,0.85127,0.85625,0.90423,0.67406,0.54024,0.5174,0.80331,0.005545,0.005545,0.005545
47,1474.99,0.89185,0.93748,1.28382,0.88233,0.8125,0.8997,0.67476,0.51744,1.23395,0.80208,0.005446,0.005446,0.005446
48,1506.14,0.90639,0.94359,1.29008,0.83361,0.84544,0.88784,0.67938,0.50165,0.52906,0.78046,0.005347,0.005347,0.005347
49,1537.31,0.85423,0.8778,1.2525,0.87325,0.83125,0.91301,0.67178,0.50909,0.57019,0.77429,0.005248,0.005248,0.005248
50,1568.8,0.89367,0.92026,1.27875,0.91779,0.8373,0.91389,0.66359,0.53664,0.4686,0.77828,0.005149,0.005149,0.005149
51,1600.06,0.88267,0.88341,1.27369,0.87811,0.83125,0.90948,0.6768,0.51877,0.47155,0.79147,0.00505,0.00505,0.00505
52,1631.71,0.92325,0.95696,1.29223,0.86926,0.83107,0.88876,0.69275,0.50365,0.84965,0.77339,0.004951,0.004951,0.004951
53,1663.23,0.87258,0.87947,1.26052,0.897,0.81646,0.90232,0.69136,0.52425,0.63802,0.79852,0.004852,0.004852,0.004852
54,1694.29,0.89271,0.90057,1.27904,0.87082,0.83125,0.88663,0.67779,0.50264,0.47954,0.77804,0.004753,0.004753,0.004753
55,1725.51,0.87339,0.90764,1.26875,0.89481,0.8,0.90131,0.70124,0.48384,0.45533,0.77538,0.004654,0.004654,0.004654
56,1756.65,0.86531,0.85649,1.26962,0.94652,0.80625,0.90969,0.70891,0.46763,0.47173,0.7538,0.004555,0.004555,0.004555
57,1787.94,0.8611,0.84937,1.26378,0.89754,0.82129,0.91559,0.70409,0.4808,0.44753,0.76015,0.004456,0.004456,0.004456
58,1819.11,0.85038,0.86505,1.26487,0.8983,0.83125,0.91151,0.70588,0.485,0.41718,0.75499,0.004357,0.004357,0.004357
59,1850.27,0.85686,0.85025,1.25791,0.91826,0.85,0.91197,0.6875,0.49611,0.67423,0.75968,0.004258,0.004258,0.004258
60,1881.16,0.82036,0.84142,1.23366,0.86105,0.9,0.93123,0.72974,0.47119,0.7011,0.75476,0.004159,0.004159,0.004159
