iter	auc
0	0.8856650546875
1	0.8856650546875
2	0.8856650546875
3	0.8856650546875
4	0.8856650546875
5	0.8856650546875
6	0.8883032421875
7	0.8886293828125
8	0.8886293828125
9	0.8886293828125
10	0.8886328984375
11	0.8886328984375
12	0.8902436875
13	0.891248703125
14	0.89256125
15	0.892974484375
16	0.893141375
17	0.893384875
18	0.89327096875
19	0.8934832578125
20	0.8935559765625
21	0.8936588828125
22	0.8964369140625
23	0.8966394765625
24	0.8969505859375
25	0.8970778671875
26	0.8972178984375
27	0.8983690703125
28	0.8986059453125
29	0.8989913359375
30	0.8995208984375
31	0.900289765625
32	0.9003701875
33	0.90074065625
34	0.9008200390625
35	0.9015066484375
36	0.9015920234375
37	0.9017746796875
38	0.9023893203125
39	0.9025040859375
40	0.9026587578125
41	0.9028543046875
42	0.9030223359375
43	0.9032494765625
44	0.9032901015625
45	0.9034361484375
46	0.903924921875
47	0.904724796875
48	0.905086109375
49	0.905289765625
50	0.9053952421875
51	0.905710921875
52	0.906242953125
53	0.9064238515625
54	0.9069956796875
55	0.9073323359375
56	0.907555578125
57	0.90844815625
58	0.9086971015625
59	0.909044890625
60	0.9093254453125
61	0.9096593203125
62	0.9099116640625
63	0.9100307421875
64	0.9101676953125
65	0.9101233125
66	0.910449546875
67	0.9112791015625
68	0.9117243671875
69	0.9122980546875
70	0.9126578046875
71	0.91311309375
72	0.913467390625
73	0.9136736484375
74	0.9138612265625
75	0.914464203125
76	0.914694625
77	0.9148475234375
78	0.91518909375
79	0.9156222265625
80	0.9159735
81	0.9164259921875
82	0.9166468125
83	0.916943375
84	0.917234546875
85	0.917228078125
86	0.917400734375
87	0.917695734375
88	0.91769721875
89	0.917981765625
90	0.918229265625
91	0.9185779296875
92	0.919021953125
93	0.919283140625
94	0.9193948125
95	0.919645328125
96	0.919901953125
97	0.92007809375
98	0.9203038359375
99	0.9206265234375
100	0.921080515625
101	0.921285296875
102	0.9215440390625
103	0.9217506328125
104	0.9220823984375
105	0.9223677265625
106	0.9226025703125
107	0.9231054765625
108	0.9231443125
109	0.9233431640625
110	0.9235434765625
111	0.9237329140625
112	0.9239908828125
113	0.9241423671875
114	0.924296734375
115	0.924408078125
116	0.92479721875
117	0.924926859375
118	0.9250485078125
119	0.925157828125
120	0.9253647421875
121	0.92577975
122	0.925927703125
123	0.9262197265625
124	0.926379921875
125	0.92647971875
126	0.92673225
127	0.9268526875
128	0.927037421875
129	0.927107796875
130	0.927310953125
131	0.927400859375
132	0.9275124375
133	0.92756653125
134	0.92768534375
135	0.9277692578125
136	0.92779015625
137	0.928121859375
138	0.92820565625
139	0.928604890625
140	0.92861859375
141	0.9287994453125
142	0.9290009375
143	0.92906928125
144	0.92915465625
145	0.929214
146	0.929399109375
147	0.929435953125
148	0.9296790546875
149	0.9297211953125
150	0.9299926015625
151	0.9301273828125
152	0.9301568984375
153	0.9302173359375
154	0.9302884140625
155	0.9303606171875
156	0.9304287109375
157	0.930585265625
158	0.930722390625
159	0.93088890625
160	0.930952609375
161	0.931027828125
162	0.9311479765625
163	0.9312706171875
164	0.9313305546875
165	0.9314730078125
166	0.9315533046875
167	0.9316268046875
168	0.9317184296875
169	0.9317507890625
170	0.9320128828125
171	0.9321641484375
172	0.9322416171875
173	0.9323972265625
174	0.9325736328125
175	0.9327417109375
176	0.9328405703125
177	0.9329348125
178	0.933082625
179	0.933206375
180	0.933373609375
181	0.933420171875
182	0.9335471953125
183	0.9336129921875
184	0.93375315625
185	0.933787578125
186	0.933816796875
187	0.9338700625
188	0.93390928125
189	0.9339315625
190	0.9339516875
191	0.933969734375
192	0.933999109375
193	0.9340884375
194	0.93421559375
195	0.93426684375
196	0.93430515625
197	0.9343155
198	0.9343540625
199	0.934425453125
200	0.9345098125
201	0.9346402734375
202	0.934729296875
203	0.93479721875
204	0.934901078125
205	0.9350338125
206	0.93505896875
207	0.93511034375
208	0.93513540625
209	0.93516859375
210	0.935272640625
211	0.935342265625
212	0.9353836484375
213	0.935411328125
214	0.935615046875
215	0.935660875
216	0.935909671875
217	0.935950203125
218	0.935964625
219	0.93603675
220	0.9361089375
221	0.936156296875
222	0.936199765625
223	0.93634671875
224	0.93644490625
225	0.936594078125
226	0.9366566875
227	0.936686046875
228	0.936679015625
229	0.9367215625
